"Categoría","Código","Nombre","Descripción","Precio"
"Otros","01202","Dragón Nailong","Tamaño: 45cm","1"
"Otros","11","Agenda","","1"
"Otros","01109","Bibble","Tamaño: 26cn","1"
"Garfield","0012","Garfield","Tamaño: 36cm","1"
"Garfield","0151","Garfield","Tamaño: 30cm","1"
"Labubu","01","Manilla Labubu con música y mueve la colita","","1"
"Labubu","182","Llavero Labubu Disfraz","","1"
"Labubu","185","Llavero Moto Labubu con música","","1"
"Minecraft","01113","Minecraft Steve","Tamaño: 33cm","1"
"Minecraft","01113","Minecraft Zombie","Tamaño: 33cm","1"
"Minecraft","01113","Minecraft Creeper","Tamaño: 33cm","1"
"Minecraft","0183","Minecraft Steve","Tamaño: 20cm","1"
"Minecraft","0183","Minecraft Zombie","Tamaño: 20cm","1"
"Oso Cariñosito","01218","Oso Gruñón G","","1"
"Snoopy","0141","Llavero Snoopy Braga","","1"
"Snoopy","123","Llavero Snoopy Ropa","","1"
"Snoopy","134","Snoopy Bufanda","Tamaño: 25cm","1"
"Snoopy","01214","Snoopy Buzo","Tamaño: 22cm","1"
"Snoopy","0197","Snoopy Emilio","Tamaño: 90cm","1"
"Snoopy","0199","Taza Snoopy","","1"
"Snoopy","0190","Snoopy Emilio","Tamaño: 55cm","1"
"Snoopy","01200","Snoopy Acostado","Tamaño: 45cm","1"
"Snoopy","01223","Snoopy Roncador","Tamaño: 30cm","1"
"Snoopy","123","Llavero Snoopy","","1"
"Snoopy","74","Snoopy Aviador","Tamaño: 25cm","1"
"Sonic","39","Sonic","Tamaño: 27cm","1"
"BTS","01126","BTS Chimmy","Tamaño: 20cm","1"
"BTS","01126","BTS Tata","Tamaño: 21cm","1"
"BTS","01126","BTS Koya","Tamaño: 20cm","1"
"BTS","01126","BTS Mang","Tamaño: 20cm","1"
"BTS","01126","BTS Shooky","Tamaño: 20cm","1"
"BTS","01126","BTS Cooky","Tamaño: 24cm","1"
"BTS","01126","BTS RJ","Tamaño: 20cm","1"
"Bob Esponja","0180","Patricio","Tamaño: 43cm","1"
"Bob Esponja","01108","Don Cangrego","Tamaño: 25cm","1"
"Bob Esponja","01108","Bob Esponja","Tamaño: 25cm","1"
"Bob Esponja","804","Bob Esponja","Tamaño: 28cm","1"
"Bluey y Bingo","141","Bluey","Tamaño: 30cm","1"
"Bluey y Bingo","141","Bingo","Tamaño: 30cm","1"
"Disney","01106","Dumbo","Tamaño: 25cm","1"
"Disney","0010","Gato Alicia","Tamaño: 21cm","1"
"Disney","01117","Minnie","Tamaño: 35cm","1"
"Disney","01205","Lotso Acostado","Tamaño: 30cm","1"
"Disney","0179","Sullivan","Tamaño: 25cm","1"
"Disney","0192","Stitch Peludito","Tamaño: 25cm","1"
"Disney","0192","Stitch Pato","Tamaño: 42cm","1"
"Disney","0196","Zootopia Nico","Tamaño: 35cm","1"
"Disney","163","Nemo","Tamaño: 25cm","1"
"Disney","43","Gato Lucifer","Tamaño: 25cm","1"
"Disney","70","Ardilla de Disney","Tamaño: 45cm","1"
"Disney","811","Cars","Tamaño: 17cm","1"
"Disney","01120","Mike Wazowski","Tamaño: 30cm","1"
"Disney","01120","Colección Stitch","Tamaño: 20cm","1"
"Disney","01204","Gato Lucifer","Tamaño: 30cm","1"
"Disney","01209","Mickey Mágico","Tamaño: 35cm","1"
"Disney","0195","Zootopia Judy","Tamaño: 35cm","1"
"Disney","20","Libro de Aventuras de UP","","1"
"Disney","187","Mickey Mágico","Tamaño: 60cm","1"
"Disney","261","Conejito Disney","Tamaño: 25cm","1"
"Disney","286","Moana","Tamaño: 40cm","1"
"Disney","276","Abuelo Up","Tamaño: 22cm","1"
"Disney","01118","Tiro Blanco","Tamaño: 36cm","1"
"Disney","01109","Colección Winnie Pooh","Tamaño: 22cm","1"
"Disney","01134","Winnie Pooh","Tamaño: 28cm","1"
"Disney","0170","Lotso Acostado","Tamaño: 30cm","1"
"Disney","0192","Stitch Trapo","Tamaño: 42cm","1"
"Disney","0198","Stitch Cobija","Tamaño: 45cm","1"
"Disney","167","Jessie Toy Story","Tamaño: 39cm","1"
"Disney","16","Llavero Stitch","","1"
"Disney","194","Woody Toy Story","Tamaño: 30cm","1"
"Disney","194","Boss Toy Story","Tamaño: 30cm","1"
"Disney","183","Llavero Lucifer","","1"
"Disney","252","Pluto","Tamaño: 30cm","1"
"Disney","291","Stitch Respira","Tamaño: 35cm","1"
"Disney","298","Monsters Cobija","Tamaño: 40cm","1"
"Goku","262","Goku","Tamaño: 25cm","1"
"Hot Wheels","179","Hot Wheels","","1"
"Kirby","01124","Llavero Kirby","","1"
"Llaveros","01140","Llavero Cordero Tulipán","","1"
"Llaveros","125","Llavero Red","","1"
"Mario Bros","01212","Yoshi Bebé","Tamaño: 35cm","1"
"Mario Bros","01114","Hongo","Tamaño: 25cm","1"
"Pokemones","0181","Pikachu","Tamaño: 24cm","1"
"Pokemones","212","Pokemon","Tamaño: 36cm","1"
